"Nazwa","Wyswietlacz","Pamiec_RAM","Pamiec_wbudowana","Aparat_foto","Cena","Liczba_opini","Ocena_klientow","Status_opinii"
"Huawei P60 Pro 8",6.67,8,256,48,5499,12,"4.5","mniej 50 opinii"
"Huawei nova Y61 4",6.52,4,64,50,699,2,"4","mniej 50 opinii"
"Huawei Nova 11i 8",6.8,8,128,48,1099,6,"5","mniej 50 opinii"
"Huawei Nova 9 SE 8",6.78,8,128,108,1299,7,"5","mniej 50 opinii"
"Huawei Nova 9 8",6.57,8,128,50,1499,11,"5","mniej 50 opinii"
"Huawei Nova Y91 6",6.95,8,128,50,1499,8,"5","mniej 50 opinii"
"Huawei Nova 11 Pro 8",6.78,8,256,50,2849,2,"5","mniej 50 opinii"
"Huawei nova 10",6.67,8,128,50,1799,6,"5","mniej 50 opinii"
"Huawei Nova 11 8",6.7,8,256,50,2599,NA,"NaN",NA
"Huawei Nova Y70 4",6.75,4,128,48,839,12,"4.5","mniej 50 opinii"
"Huawei P50 Pro 8",6.6,8,256,50,4499,8,"4.5","mniej 50 opinii"
"Huawei Y5p",5.45,2,32,8,299,25,"5","mniej 50 opinii"
"Huawei Y6p",6.3,3,64,13,299,24,"5","mniej 50 opinii"
"Huawei P40 Lite E 4",6.39,4,64,48,499,45,"4.5","mniej 50 opinii"
"Huawei P smart 2021 4",6.67,4,128,48,599,28,"5","mniej 50 opinii"
